iter	Passed	Remaining
907	5488	556
908	5495	550
909	5501	544
910	5507	538
911	5513	532
912	5517	525
913	5523	519
914	5529	513
915	5534	507
916	5540	501
917	5544	495
918	5551	489
919	5556	483
920	5561	477
921	5566	470
922	5572	464
923	5577	458
924	5584	452
925	5589	446
926	5595	440
927	5601	434
928	5607	428
929	5613	422
930	5619	416
931	5626	410
932	5632	404
933	5638	398
934	5643	392
935	5649	386
936	5654	380
937	5661	374
938	5666	368
939	5670	361
940	5675	355
941	5679	349
942	5685	343
943	5691	337
944	5695	331
945	5700	325
946	5705	319
947	5708	313
948	5715	307
949	5721	301
950	5726	295
951	5731	288
952	5735	282
953	5742	276
954	5747	270
955	5752	264
956	5757	258
957	5760	252
958	5765	246
959	5769	240
960	5772	234
961	5777	228
962	5781	222
963	5786	216
964	5791	210
965	5797	204
966	5803	198
967	5806	191
968	5811	185
969	5816	179
970	5819	173
971	5825	167
972	5829	161
973	5835	155
974	5839	149
975	5845	143
976	5850	137
977	5854	131
978	5860	125
979	5864	119
980	5868	113
981	5874	107
982	5880	101
983	5886	95
984	5893	89
985	5897	83
986	5903	77
987	5907	71
988	5914	65
989	5918	59
990	5924	53
991	5929	47
992	5935	41
993	5941	35
994	5947	29
995	5952	23
996	5959	17
997	5965	11
998	5971	5
999	5976	0
