iter	RMSE
788	81212.22169
789	81196.96315
790	81183.58582
791	81174.85905
792	81155.54451
793	81047.50577
794	81037.21969
795	81019.45286
796	80993.60798
797	80980.29036
798	80950.84621
799	80942.0207
800	80795.39019
801	80786.336
802	80778.63361
803	80763.38155
804	80748.61949
805	80739.64833
806	80727.26217
807	80716.32277
808	80387.00614
809	80378.49168
810	80368.87846
811	80359.34706
812	80350.0301
813	80337.25783
814	80181.31282
815	80172.53252
816	79930.43451
817	79919.84816
818	79635.10749
819	79627.33505
820	79615.89908
821	79484.02231
822	79475.01041
823	79430.06371
824	79421.5791
825	79413.69658
826	79406.3239
827	79396.4496
828	79389.60903
829	79379.42938
830	79360.21984
831	79239.03369
832	79228.76868
833	79195.94552
834	79187.39629
835	79180.41419
836	79154.9691
837	79113.8175
838	79104.92326
839	79084.70701
840	79076.64094
841	79066.9096
842	79058.43439
843	78789.42718
844	78781.48433
845	78756.67838
846	78740.36887
847	78732.60246
848	78725.51745
849	78688.68372
850	78540.27662
851	78495.79873
852	78481.9128
853	78336.86279
854	78139.0015
855	77905.51519
856	77863.9295
857	77850.59165
858	77624.8444
859	77466.24025
860	77328.37835
861	77200.14311
862	77190.61043
863	77181.0308
864	77065.93247
865	76873.46639
866	76729.4848
867	76719.62995
868	76708.85498
869	76615.03532
870	76412.21694
871	76404.41337
872	76350.24974
873	76339.79959
874	76166.01854
875	75948.75985
876	75911.15706
877	75902.067
878	75722.37656
879	75712.86296
880	75670.6629
881	75664.60032
882	75541.71605
883	75505.78599
884	75496.18479
885	75417.80819
886	75301.69219
887	75187.04757
888	75180.04917
889	75170.30443
890	75135.06491
891	75121.96966
892	75054.36226
893	75036.92359
894	75029.25383
895	75021.05124
896	74895.52136
897	74888.655
898	74846.72542
899	74830.04181
900	74798.82315
901	74643.49897
902	74600.67072
903	74416.25906
904	74407.53531
905	74369.93951
906	74338.70417
907	74227.42293
908	74045.77663
909	74037.9542
910	73992.41713
911	73971.9734
912	73891.20795
913	73718.23483
914	73596.29722
915	73548.77292
916	73539.44769
917	73529.44435
918	73520.84779
919	73387.21818
920	73369.64584
921	73346.64356
922	73338.12253
923	73212.41973
924	73020.02685
925	72875.50713
926	72863.95958
927	72819.07372
928	72811.81528
929	72800.6222
930	72681.83302
931	72578.96671
932	72489.34189
933	72292.42027
934	72263.65019
935	72254.36145
936	72193.98715
937	71979.00571
938	71971.79229
939	71961.22857
940	71950.89137
941	71912.08438
942	71855.48858
943	71736.23738
944	71727.85798
945	71720.56007
946	71568.29165
947	71559.57753
948	71535.06991
949	71392.41916
950	71273.96796
951	71156.05383
952	71133.27558
953	71125.24835
954	71107.72182
955	71097.83372
956	71090.57854
957	71053.31976
958	71024.74578
959	70879.51002
960	70756.08296
961	70726.03452
962	70634.67621
963	70625.16078
964	70491.25716
965	70473.77998
966	70407.71713
967	70174.07148
968	70167.57596
969	70132.1725
970	70036.70037
971	69917.36424
972	69804.71262
973	69780.31263
974	69772.28855
975	69763.34096
976	69755.16001
977	69746.16853
978	69714.5507
979	69690.23598
980	69592.7954
981	69554.28567
982	69547.92099
983	69454.10905
984	69380.70244
985	69371.61459
986	69362.8137
987	69237.52083
988	69216.24335
989	69208.3706
990	69052.87669
991	69031.0394
992	68879.32605
993	68856.50246
994	68698.59884
995	68689.72164
996	68519.82382
997	68515.58181
998	68508.02492
999	68484.65467
